UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
1,M15000,L,298.639950556843,310.85765962320204,1616.7782061659807,30.241267470226674,188,0
2,M15001,H,300.464507394322,309.8400614700366,1525.4420843301214,50.536417966078396,162,0
3,M15002,M,300.58614494659736,309.98098379209733,1533.7602662075203,30.50601111168057,63,0
4,M15003,L,298.5712971639473,308.9974706353622,1458.8123033877532,66.32382064837391,24,0
5,M15004,L,303.7315490222895,309.9814868640076,1451.2393775927505,44.93317900880889,23,1
6,M15005,L,300.94766584182355,309.71134136107986,1456.744181218038,41.84836123694874,11,0
7,M15006,L,297.6173930055947,310.3227185603381,1539.4452142378298,31.416422198187867,17,0
8,M15007,M,301.31310721726766,309.1727690564477,1457.9015519179736,47.003098794089915,14,0
9,M15008,M,298.0506366595454,310.5193465142412,1528.9774856896413,34.24362173762226,235,0
10,M15009,M,301.5741692074849,311.53273891300256,1707.540079864544,41.220098146453616,207,0
11,M15010,L,302.3171911580148,309.89123985154316,1587.1124703431692,65.60084538268795,26,0
12,M15011,H,298.35863536329657,310.4017117220989,1467.3976467832158,39.0394010027535,71,0
13,M15012,M,301.92675225848865,310.6901439917111,1620.1213922163945,51.49273326285676,59,0
14,M15013,L,300.825561853873,309.59877952811416,1459.1924626978448,32.96823574874112,173,0
15,M15014,L,301.644120319989,310.22409248181043,1296.1875464822147,39.65011509503038,216,0
16,M15015,L,303.7935859653079,310.0125924007818,1399.1913689082596,57.7080063563551,144,0
17,M15016,L,299.5092237679943,310.09767609854885,1312.9208078974143,33.730329422122324,92,0
18,M15017,L,298.492527671285,309.22699021614454,1464.8486515958691,58.12448557996929,52,0
19,M15018,L,298.22097114074893,310.0245101742589,1501.8418379189552,47.07751935455475,7,0
20,M15019,L,298.3683794300691,310.49799829124544,1667.6437312275282,34.37533224105732,78,0
21,M15020,M,299.8457965811718,311.451143607795,1532.6927373764163,46.32407739055521,26,1
22,M15021,L,300.6823039496333,310.95927082608523,1478.0899471191135,49.7255444962673,173,0
23,M15022,L,300.55338159866005,312.15318245751155,1582.940558118349,46.21809962217196,49,0
24,M15023,L,301.654366498072,309.23265243711194,1278.8864690992116,24.297752801095434,198,0
25,M15024,L,300.0260037837558,310.8723206367207,1523.5614558108566,32.728628241751316,130,0
26,M15025,M,302.90706815431463,310.1833420057383,1577.0865193886966,37.52481364448495,92,0
27,M15026,L,299.4706863335241,312.18980293321766,1352.141375422016,39.25566570899954,191,0
28,M15027,L,305.4403383331792,309.19170171464486,1614.375404320693,46.206720975506784,171,0
29,M15028,L,301.25133469553003,309.1602781578192,1533.8496407494415,41.777010009332535,180,0
30,M15029,L,298.28568488716746,309.400607354556,1458.4712086099198,26.64655641289899,23,0
31,M15030,M,297.8582150038778,307.8761042756902,1563.2781866106284,43.801978510059634,59,0
32,M15031,L,300.9649448304864,309.47424497831923,1727.0692857804397,46.10585745283823,121,0
33,M15032,L,299.55307442934827,309.2408673384463,1518.1866255058494,45.5979044793104,130,0
34,M15033,H,301.4280009881842,310.15039378647623,1524.8220586300336,50.807807255546216,147,0
35,M15034,H,300.9464752491471,310.3417559757772,1454.0639100459755,48.33922154548904,45,0
36,M15035,M,299.8543421746863,311.8761708392159,1415.0155630535207,44.59180079228437,14,0
37,M15036,L,298.3064125638632,310.95042383818605,1583.0335816544246,39.29834288541353,152,0
38,M15037,L,296.97030555062827,309.4230963443376,1414.3916174091132,23.390390664840087,221,0
39,M15038,M,299.10697009586596,309.10158532865165,1507.1566237219392,44.296182191325855,205,0
40,M15039,L,301.71279758864694,310.4919191715065,1452.2342553234882,42.076876871631114,198,0
41,M15040,L,300.4281874882604,308.67976679297936,1547.8979825746392,42.715788371953735,16,0
42,M15041,L,297.508522442576,311.83145876585434,1533.3662105286949,27.232514241796906,125,0
43,M15042,L,300.34636185170234,311.17944012072127,1603.7539944257899,29.189434595917376,235,0
44,M15043,H,300.77063475945766,309.5308243478953,1448.9983601145252,50.53152853332904,83,0
45,M15044,L,298.2322851275977,308.2868654709091,1473.0125064706629,39.60444846143345,227,0
46,M15045,M,300.3074502118911,311.3538723741654,1402.1236284217694,46.81500697372624,8,0
47,M15046,L,300.116417436892,309.88546015474736,1455.570673992389,40.28318376130461,165,0
48,M15047,L,297.71405940433874,311.23781631197346,1537.7300493044852,40.297561394957455,175,0
49,M15048,L,300.71557472069657,308.40557234120564,1575.6988616645351,49.382838059759976,187,0
50,M15049,L,301.12156905273645,309.4006249770462,1407.7834675822376,34.83955271782626,62,0
51,M15050,H,302.16610248635055,310.00524369971816,1586.960592010566,40.96120776940983,213,0
52,M15051,M,302.1076041040698,310.0469805937647,1635.563785880495,35.377247112949576,116,0
53,M15052,H,297.24466126408583,309.54993452852074,1541.3434903223701,35.65503772567684,129,0
54,M15053,M,298.1243499201698,310.6228499323475,1687.6795812558066,36.908278765313604,87,0
55,M15054,L,301.0300705344173,308.9323795706174,1422.6210800896426,42.22133771633713,71,0
56,M15055,H,301.02757190182444,309.8576205149787,1375.5345296688583,35.212513783365225,138,0
57,M15056,L,301.0300953726121,310.1202956317119,1322.1279751095722,52.55756125573521,63,0
58,M15057,L,307.70546298130944,310.51443883405875,1649.6044311489184,31.053926977804963,204,0
59,M15058,L,301.14178102138635,310.7116148780889,1565.4365656354057,38.13128355838641,208,0
60,M15059,L,302.2711312803612,308.87535790816213,1494.4415329089545,35.60268941725825,71,0
61,M15060,L,301.9080035269864,308.4658858292644,1527.9968626319821,54.46977884353733,20,0
62,M15061,L,301.3027825026116,311.2776768218985,1387.4510952701623,41.965547765115744,17,0
63,M15062,M,299.3694615107193,310.3323140119796,1744.5751979616825,50.31844539468635,221,0
